id,f:status,f:notice-code,title,link,author,updated,published,category,content
3725250,published,2443,HELPING HANDS ACCOUNTANCY SERVICES LIMITED,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3725250', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725250/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:07:08Z,2021-01-30T01:00:12,{'@term': 'Appointment of Liquidators'},"<div><p>Name of Company: HELPING HANDS ACCOUNTANCY SERVICES LIMITED Company Number: 07201836 Nature of Business: Bookkeeping Services Type of Liquidation: Creditors Registered office: Saxon House, Saxon Way,…</p></div>"
3724561,published,2443,THE DOG STATION DAY CARE LTD,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3724561', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724561/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:07:00Z,2021-01-30T01:00:08,{'@term': 'Appointment of Liquidators'},<div><p>Name of Company: THE DOG STATION DAY CARE LTD In Creditors&apos;Voluntary Liquidation (&quot;the Company&quot;) Company Number: 12177779 Nature of Business: Support activities for animal production (other than farm…</p></div>
3725476,published,2443,SCOTT-AIR MECHANICAL LTD,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3725476', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725476/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:05:41Z,2021-01-29T17:40:49,{'@term': 'Appointment of Liquidators'},<div><p>Name of Company: SCOTT-AIR MECHANICAL LTD Company Number: 12589843 Company Type: Registered Company Nature of the business: Air Conditioning Type of Liquidation: Creditors&apos;Voluntary Registered office…</p></div>
3725286,published,2443,F&G LOGISTICS LIMITED,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3725286', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725286/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:07:13Z,2021-01-29T17:40:36,{'@term': 'Appointment of Liquidators'},"<div><p>Company Number: 10291839 Name of Company: F&G LOGISTICS LIMITED Nature of Business: Freight transport by road Registered office: 3 Co-operative Street, Wath-upon-dearne, Rotherham, South Yorkshire S63…</p></div>"
3725116,published,2443,DANIEL SHELTON & ASSOCIATES LIMITED,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3725116', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3725116/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:08:19Z,2021-01-29T17:40:23,{'@term': 'Appointment of Liquidators'},<div><p>Company Number: 10363124 Name of Company: DANIEL SHELTON & ASSOCIATES LIMITED Nature of Business: Sales Agent in the Construction Industry Registered office: 1st Floor Gateway House Grove Business Par…</p></div>
3724451,published,2443,POSH NOSH LTD,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3724451', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724451/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:44:24Z,2021-01-29T15:50:09,{'@term': 'Appointment of Liquidators'},"<div><p>PURSUANT TO ARTICLE 95, INSOLVENCY ORDER 1989 AND RULE 4.107, INSOLVENCY RULES 1991 Name of Company: POSH NOSH LTD Company Number: NI651947 Nature of Business: Event Catering Activities Registered off…</p></div>"
3724530,published,2443,GARTS DECORATING CONTRACTORS LTD,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3724530', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724530/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:06:56Z,2021-01-29T11:20:13,{'@term': 'Appointment of Liquidators'},"<div><p>Name of Company: GARTS DECORATING CONTRACTORS LTD Company Number: 11949544 Registered office: 36 Chesterfield Road, Market Street, Chesterfield, Derbyshire, S43 3UT Principal trading address: 36 Chest…</p></div>"
3724525,published,2443,RS CONTRACT LABOUR LTD,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3724525', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724525/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:06:53Z,2021-01-29T11:10:17,{'@term': 'Appointment of Liquidators'},"<div><p>Name of Company: RS CONTRACT LABOUR LTD Company Number: 10678119 Registered office: 10 Heol Bryn Gwyn, Penywaun, Aberdare, CF44 9EY Principal trading address: 10 Heol Bryn Gwyn, Penywaun, Aberdare, CF…</p></div>"
3724523,published,2443,J&W DJ GROUP LTD,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3724523', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724523/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:06:52Z,2021-01-29T11:10:15,{'@term': 'Appointment of Liquidators'},"<div><p>Name of Company: J&W DJ GROUP LTD Company Number: 09999034 Registered office: Heskin Hall Farm, Wood Lane, Heskin, Preston, PR7 5PA Principal trading address: 3 Strood Court, Stortford Road, Little Ca…</p></div>"
3724510,published,2443,MW EDE LIMITED,"[{'@href': 'https://www.thegazette.co.uk/id/notice/3724510', '@rel': 'self'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.ttl', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.jsonld', '@rel': 'alternate', '@title': 'JSON-LD', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.rdf', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.ttl?view=linked-data', '@rel': 'alternate', '@title': 'TURTLE', '@type': 'text/turtle'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.json?view=linked-data', '@rel': 'alternate', '@title': 'JSON-SIMPLE', '@type': 'application/json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.rdfjson?view=linked-data', '@rel': 'alternate', '@title': 'JSON-RDF', '@type': 'application/rdf+json'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.rdf?view=linked-data', '@rel': 'alternate', '@title': 'RDF/XML', '@type': 'application/rdf+xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.xml?view=linked-data', '@rel': 'alternate', '@title': 'XML', '@type': 'application/xml'}, {'@href': 'https://www.thegazette.co.uk/notice/3724510/data.html?view=linked-data', '@rel': 'alternate', '@title': 'HTML', '@type': 'application/html'}]",tso,2021-02-01T10:06:46Z,2021-01-29T11:00:06,{'@term': 'Appointment of Liquidators'},"<div><p>Name of Company: MW EDE LIMITED Company Number: 09903944 Registered office: Smith Cooper, St Helen&apos;s House, King Street, Derby, DE1 3EE Principal trading address: Anglesey Business Centre, Anglesey Ho…</p></div>"
